[INFO] 2025-01-18 13:38:42,859 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-18 13:38:45,818 basehttp "GET /admin/organizations/organization/651eed49-ba1b-4ce1-9b48-5f4184561171/change/ HTTP/1.1" 200 13517
[INFO] 2025-01-18 13:38:45,832 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8794
[INFO] 2025-01-18 13:38:45,840 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
[INFO] 2025-01-18 13:38:45,840 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
[INFO] 2025-01-18 13:38:45,841 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
[INFO] 2025-01-18 13:38:45,878 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-18 13:47:49,909 basehttp "OPTIONS /api/auth/refresh/ HTTP/1.1" 200 0
[INFO] 2025-01-18 13:47:50,629 basehttp "POST /api/auth/refresh/ HTTP/1.1" 200 486
[WARNING] 2025-01-18 13:47:53,998 log Unauthorized: /api/auth/refresh/
[WARNING] 2025-01-18 13:47:54,000 basehttp "POST /api/auth/refresh/ HTTP/1.1" 401 58
[WARNING] 2025-01-18 13:52:50,465 log Unauthorized: /api/auth/refresh/
[WARNING] 2025-01-18 13:52:50,468 basehttp "POST /api/auth/refresh/ HTTP/1.1" 401 58
[WARNING] 2025-01-18 13:54:40,702 log Unauthorized: /api/auth/refresh/
[WARNING] 2025-01-18 13:54:40,706 basehttp "POST /api/auth/refresh/ HTTP/1.1" 401 58
[INFO] 2025-01-18 13:56:56,165 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[INFO] 2025-01-18 13:56:57,040 basehttp "POST /api/auth/login/ HTTP/1.1" 200 547
[INFO] 2025-01-18 13:57:01,638 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-18 13:57:09,213 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-18 13:57:27,241 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[WARNING] 2025-01-18 13:57:27,255 log Unauthorized: /api/auth/profile/
[WARNING] 2025-01-18 13:57:27,256 basehttp "GET /api/auth/profile/ HTTP/1.1" 401 183
[INFO] 2025-01-18 16:23:29,724 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[INFO] 2025-01-18 16:23:30,496 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-18 16:23:54,247 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[WARNING] 2025-01-18 16:23:54,485 log Unauthorized: /api/auth/profile/
[WARNING] 2025-01-18 16:23:54,485 log Unauthorized: /api/auth/profile/
[WARNING] 2025-01-18 16:23:54,488 basehttp "GET /api/auth/profile/ HTTP/1.1" 401 183
[WARNING] 2025-01-18 16:23:54,489 basehttp "GET /api/auth/profile/ HTTP/1.1" 401 183
[INFO] 2025-01-18 16:24:37,957 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-18 16:24:38,594 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-18 16:24:38,594 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-19 05:59:40,268 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[INFO] 2025-01-19 05:59:40,557 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-19 05:59:55,598 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-19 06:09:21,489 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[WARNING] 2025-01-19 08:12:42,554 log Unauthorized: /api/organizations/
[WARNING] 2025-01-19 08:12:42,559 basehttp "POST /api/organizations/ HTTP/1.1" 401 183
[INFO] 2025-01-19 08:12:52,441 basehttp "POST /api/auth/login/ HTTP/1.1" 200 635
[WARNING] 2025-01-19 08:13:09,549 log Forbidden: /api/organizations/
[WARNING] 2025-01-19 08:13:09,550 basehttp "POST /api/organizations/ HTTP/1.1" 403 54
[INFO] 2025-01-19 08:14:17,484 basehttp "POST /api/auth/register/ HTTP/1.1" 201 486
[INFO] 2025-01-19 08:14:28,641 basehttp "POST /api/organizations/ HTTP/1.1" 201 151
[INFO] 2025-01-19 08:18:38,587 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:18:39,066 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-19 08:19:59,507 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-19 08:20:37,310 basehttp "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:20:37,742 basehttp "POST /api/auth/register/ HTTP/1.1" 201 486
[INFO] 2025-01-19 08:20:52,877 basehttp "OPTIONS /api/organizations/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:20:52,910 basehttp "POST /api/organizations/ HTTP/1.1" 201 151
[INFO] 2025-01-19 08:20:58,574 basehttp "OPTIONS /api/auth/refresh/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:20:58,608 basehttp "POST /api/auth/refresh/ HTTP/1.1" 200 486
[WARNING] 2025-01-19 08:21:06,079 log Unauthorized: /api/auth/refresh/
[WARNING] 2025-01-19 08:21:06,079 basehttp "POST /api/auth/refresh/ HTTP/1.1" 401 58
[INFO] 2025-01-19 08:21:10,504 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:21:10,856 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
